ear,head_pose,mouth_ratio,label,source
0.154697,0.07125,0.016647,0,Drowsy
0.127205,0.066272,0.009088,0,Drowsy
0.053059,0.025299,0.198715,0,Drowsy
0.098194,0.021285,0.005608,0,Drowsy
0.045512,0.0279,0.006504,0,Drowsy
0.041414,0.027166,0.006004,0,Drowsy
0.025279,0.039067,0.002833,0,Drowsy
0.023723,0.037225,0.002943,0,Drowsy
0.033668,0.057047,0.001485,0,Drowsy
0.025264,0.077176,0.003187,0,Drowsy
0.028039,0.093389,0.002566,0,Drowsy
0.035991,0.100032,0.000266,0,Drowsy
0.026213,0.112253,0.003783,0,Drowsy
0.029141,0.108593,0.001385,0,Drowsy
0.0283,0.090375,0.001824,0,Drowsy
0.044073,0.084474,0.003634,0,Drowsy
0.028782,0.071354,0.000686,0,Drowsy
0.03702,0.058724,8.8e-05,0,Drowsy
0.046665,0.040539,0.001686,0,Drowsy
0.11192,0.041109,0.002246,0,Drowsy
0.199369,0.037699,0.001339,0,Drowsy
0.09202,0.046898,0.002037,0,Drowsy
0.074794,0.032584,0.004292,0,Drowsy
0.083453,0.037688,0.00632,0,Drowsy
0.072676,0.032493,0.005149,0,Drowsy
0.051233,0.031119,0.006518,0,Drowsy
0.039671,0.034688,0.003398,0,Drowsy
0.032548,0.03568,0.004764,0,Drowsy
0.032089,0.03513,0.00564,0,Drowsy
0.048984,0.030941,0.005881,0,Drowsy
0.035615,0.038021,0.001201,0,Drowsy
0.03436,0.031551,0.001383,0,Drowsy
0.029414,0.035972,0.000888,0,Drowsy
0.024793,0.031947,0.002284,0,Drowsy
0.024524,0.032114,0.001262,0,Drowsy
0.020923,0.033094,0.004564,0,Drowsy
0.021689,0.034359,0.000638,0,Drowsy
0.021076,0.035832,0.001082,0,Drowsy
0.112371,0.04019,0.002207,0,Drowsy
0.103447,0.040276,0.006303,0,Drowsy
0.064852,0.04274,0.008217,0,Drowsy
0.090378,0.03064,0.019556,0,Drowsy
0.051886,0.033334,0.034612,0,Drowsy
0.040935,0.03533,0.00426,0,Drowsy
0.058067,0.025518,0.00013,0,Drowsy
0.035524,0.019367,0.00894,0,Drowsy
0.051095,0.029087,0.003116,0,Drowsy
0.076857,0.034069,0.001938,0,Drowsy
0.072589,0.033756,0.005412,0,Drowsy
0.052645,0.034631,0.00501,0,Drowsy
0.058722,0.061933,0.00826,0,Drowsy
0.109293,0.0318,0.002203,0,Drowsy
0.080716,0.081602,0.037045,0,Drowsy
0.083824,0.061578,0.026501,0,Drowsy
0.092367,0.078088,0.00148,0,Drowsy
0.113947,0.039313,0.008896,0,Drowsy
0.124782,0.034667,0.007382,0,Drowsy
0.105871,0.031854,0.00681,0,Drowsy
0.086419,0.035469,0.009503,0,Drowsy
0.062366,0.022797,0.008449,0,Drowsy
0.068218,0.016361,0.00784,0,Drowsy
0.08767,0.01719,0.008503,0,Drowsy
0.057939,0.030496,0.005808,0,Drowsy
0.062102,0.019968,0.026321,0,Drowsy
0.077139,0.01881,0.011754,0,Drowsy
0.122573,0.013862,0.014283,0,Drowsy
0.122532,0.036554,0.010869,0,Drowsy
0.078426,0.044351,0.013959,0,Drowsy
0.071732,0.035604,0.104802,0,Drowsy
0.077353,0.041505,0.015133,0,Drowsy
0.071886,0.051136,0.011897,0,Drowsy
0.07734,0.062809,0.00898,0,Drowsy
0.104627,0.05556,0.004457,0,Drowsy
0.105702,0.054348,0.005914,0,Drowsy
0.090798,0.072827,0.002801,0,Drowsy
0.096833,0.087719,0.003746,0,Drowsy
0.076852,0.105908,0.005719,0,Drowsy
0.146107,0.11002,0.010214,0,Drowsy
0.384,0.120746,0.000941,0,Looking Away
0.374885,0.144637,0.003289,0,Looking Away
0.393357,0.163356,0.008067,0,Looking Away
0.384033,0.185715,0.008621,0,Looking Away
0.383461,0.19178,0.00795,0,Looking Away
0.375911,0.209205,0.008895,0,Looking Away
0.4015,0.22616,0.011575,0,Looking Away
0.40271,0.237872,0.010643,0,Looking Away
0.399431,0.238585,0.005405,0,Looking Away
0.411555,0.24653,0.008425,0,Looking Away
0.406822,0.254729,0.009347,0,Looking Away
0.401833,0.264729,0.009273,0,Looking Away
0.404593,0.259884,0.010455,0,Looking Away
0.400211,0.258146,0.00633,0,Looking Away
0.398548,0.247136,0.007369,0,Looking Away
0.401145,0.235992,0.007904,0,Looking Away
0.392885,0.233446,0.011168,0,Looking Away
0.394444,0.223877,0.008454,0,Looking Away
0.401459,0.233098,0.010609,0,Looking Away
0.405416,0.222627,0.007258,0,Looking Away
0.388159,0.222259,0.00836,0,Looking Away
0.392745,0.22097,0.006565,0,Looking Away
0.389274,0.218946,0.001039,0,Looking Away
0.388336,0.210718,0.000116,0,Looking Away
0.394487,0.2092,0.002236,0,Looking Away
0.393138,0.210769,0.002954,0,Looking Away
0.390212,0.205368,0.001513,0,Looking Away
0.398634,0.207021,0.001811,0,Looking Away
0.400888,0.202688,0.000709,0,Looking Away
0.396361,0.200765,0.00012,0,Looking Away
0.394769,0.197904,0.006199,0,Looking Away
0.398172,0.190274,0.004453,0,Looking Away
0.39314,0.210319,0.010133,0,Looking Away
0.389487,0.180709,0.003849,0,Looking Away
0.370892,0.164444,0.014048,0,Looking Away
0.356226,0.158291,0.003145,0,Looking Away
0.34993,0.146285,0.004514,0,Looking Away
0.331667,0.132357,0.000158,0,Looking Away
0.338603,0.125576,0.00596,0,Looking Away
0.339194,0.114084,0.004899,0,Looking Away
0.343285,0.093517,0.008316,0,Looking Away
0.348669,0.080474,0.005993,0,Looking Away
0.34634,0.070127,0.002037,0,Looking Away
0.354063,0.045269,0.001575,0,Looking Away
0.353491,0.025491,0.005366,0,Looking Away
0.345222,0.029087,0.003395,0,Looking Away
0.35332,0.015978,0.000856,0,Looking Away
0.337574,0.015997,0.003012,0,Looking Away
0.355522,0.009089,0.003781,0,Looking Away
0.351164,0.007827,0.002375,0,Looking Away
